  Average Value Weighted Returns -- Monthly,,,,,,,,,,
,NoDur,Durbl,Manuf,Enrgy,HiTec,Telcm,Shops,Hlth ,Utils,Other
192607,1.45,15.55,4.69,-1.18,2.9,0.83,0.11,1.77,7.04,2.13
192608,3.97,3.68,2.81,3.47,2.66,2.17,-0.71,4.25,-1.69,4.35
192609,1.14,4.8,1.15,-3.39,-0.38,2.41,0.21,0.69,2.04,0.29
192610,-1.24,-8.23,-3.63,-0.78,-4.58,-0.11,-2.29,-0.57,-2.63,-2.84
192611,5.2,-0.19,4.1,0.01,4.71,1.63,6.43,5.42,3.71,2.11
192612,0.82,9.89,3.74,2.82,-0.02,1.99,0.62,0.11,-0.17,3.47
192701,-0.67,-0.92,-0.08,1.29,-1.13,1.88,-2.55,5.05,-1.79,1.5
192702,3.37,8.91,5.81,1.47,4.45,3.97,3.61,1.71,4.53,5.05
192703,2.73,1.62,1.43,-6.01,1.45,5.56,-0.41,1.01,0.37,1.22
192704,3.35,3.15,0.77,-5.17,5.4,-2.13,4.43,2.74,1.71,0.83
192705,8.14,5.93,5.07,4.82,7.37,3.35,2.34,4.12,9.21,6.54
192706,-1.79,-3,-2.77,-3.16,3.28,-2.14,-0.62,0.54,-3.57,-2.15
192707,4.81,13.09,12.07,2.85,12.16,3.73,9.84,9.84,5.31,6.04
192708,2.76,6.98,2.89,-0.04,5.71,0.43,7.34,0.28,3.43,-1.03
192709,5.24,5.67,4.76,3.32,1.21,6.53,7.5,5.65,8.29,4.59
192710,-0.8,-4.38,-6.69,-2.04,-7.23,-2.09,-4.93,5.13,-4.34,-3.82
192711,6.81,6.39,10.84,4.16,10.8,2.83,11.67,3.68,6.32,4.5
192712,2.46,7.77,3.08,0.89,1.22,1.33,-0.68,-0.46,2.24,1.96
192801,0.52,-3.34,-0.58,-1.86,-0.39,0.3,-0.88,2.69,5.87,-1.01
192802,-4.17,1.26,-1.88,-0.22,-0.46,-0.3,-1.12,-1.38,-0.68,-2.02
192803,4.39,27.49,8.19,5.32,19.42,1.96,8.49,10.54,6.62,6.04
192804,-0.46,1.46,1.5,15.12,2.23,3.22,0,2.35,10.94,4.31
192805,0.88,5.65,3.53,-5.29,2.3,6.61,3.79,9.27,1.51,0
192806,-4.42,-4.08,-4.93,-4.07,-5.03,-5.22,-3.4,-3.15,-3.43,-4.29
192807,1.68,0.94,1.99,1.05,0.65,-1.28,5.44,2.39,-1.24,-0.35
192808,6.11,9.04,8.67,2.41,9.75,4.55,13.53,14.57,6.46,4.75
192809,1.14,7.88,4.17,5.34,0.66,0.15,0.17,-1.14,3.76,1.01
192810,0.9,0.08,4.33,2.04,1.85,2.97,5.9,0.05,-1.89,-0.43
192811,6.62,4.51,13.08,17.23,19.56,6.68,15.29,5.05,21.93,9.96
192812,-0.52,-1.22,3.09,-4.36,7.13,-0.38,-1.32,-0.41,1.57,0.4
192901,3.38,1.3,11,-7.59,10.46,13.38,-3.88,3.43,13.17,5.56
192902,-2.62,-0.03,3.42,-0.1,-0.71,-1.15,-2.41,0.05,-1.99,0.02
192903,-4.63,-1.88,-1.83,11.03,4.5,4.29,-5.13,-1.5,-3.17,-2.17
192904,1.8,-0.98,2.29,0.74,1.78,3.39,3.75,1.48,5.13,0.46
192905,-3.94,-15.05,-9.78,-5.57,0.33,-8.77,-8.65,-7.84,4.8,-0.01
192906,5.36,7.01,13.51,1.14,17.18,13.7,9.47,4.52,23.47,5.75
192907,3.23,-2.95,4.09,0.16,9.24,13.68,1.04,2.59,9.14,6.57
192908,4.77,3,9.43,11.36,12.54,10.98,7.79,3.09,9.05,7.73
192909,-3.6,-8.35,-7.17,-2.95,-7.56,-1.37,-5.47,-7.02,1.32,-6.4
192910,-10.64,-28.94,-19.61,-10.07,-27.73,-15.39,-23.97,-18.02,-30.04,-11.76
192911,-8.44,-17.31,-14.13,-6.42,-19.24,-9.47,-12.34,-7.9,-14.64,-9.57
192912,0.64,4.9,1.5,-1.18,10.78,1.01,-6.03,1.11,7.94,-0.49
193001,5.7,5.95,6.9,-0.76,10.61,1.2,4.69,2.55,7.25,4.89
193002,2.15,2.44,2.14,-4.49,7.75,7.06,-5.13,3.15,8.57,3.25
193003,2.11,11.37,6.88,17.94,8.12,8.79,-2.44,5.99,9.72,4.84
193004,0.54,-7.81,-7.42,6.55,1.97,-4.52,2.63,-1.27,3.34,-6.44
193005,1.36,4.12,-1.74,-3.73,-4.4,0.4,-0.17,-1.49,-1.33,-0.96
193006,-11.04,-22.27,-16.41,-15.47,-19.74,-8.34,-16.26,-13.34,-19.06,-11.7
193007,3.14,12.1,4.75,5.18,4.07,1.27,2.7,6.52,4.06,3.44
193008,1.98,-1.89,-0.06,-3.2,2.21,1.74,4.96,7.71,1.18,-0.38
193009,-8.96,-16.73,-13.7,-15.46,-18.24,-5.27,-10.91,-8.7,-11.92,-10.51
193010,-4.85,-11.64,-9.91,-8.37,-17.35,-4.12,-8.61,-4.37,-8.28,-8.43
193011,0.18,5.37,-0.42,-3.72,-3.26,-3.27,2.74,-3.23,-8.74,-5.17
193012,-4.59,-1.26,-8.21,-12.32,-10.76,-3.8,-13.44,-6.79,-3.69,-8.8
193101,5.4,8.02,3.47,5.31,5.24,4.79,7.19,8.23,5.53,11.89
193102,6.81,17.37,12.85,5.77,22.38,5.95,14.79,7.81,15.27,5.47
193103,-1.69,-3.81,-6.77,-14.26,-7.76,-3.58,-3.27,1.8,-2.94,-9.4
193104,-5.29,-7.87,-14.15,-13.45,-13.04,-4.25,-4.84,-3.62,-9.04,-9.89
193105,-11.01,-16.08,-16.42,-12.54,-12.92,-8.94,-3.27,-10.26,-11.15,-17.39
193106,10.73,14.63,17.38,17.57,18.69,10.21,7.86,9.69,11,16.22
193107,-3.81,-2.1,-10.23,-3.63,-10.38,-4.87,-1.53,2.61,-5.39,-9.86
